891	455673.12
679	496724
1166	331257
886	381756
752	381328
1165	391021
874	438537
869	419981
867	437985
746	404937
862	394287
668	415766
844	411726
665	342312
843	403241
734	452029
1388	407951
837	477681
730	422264
837	444149
1306	412864
1286	508758
1257	451332
1221	541588
1221	467301
1221	461669
1179	392830
830	357587
829	401710
827	463208
1164	353172
1138	379668
826	481927
1124	396273
826	485171
725	393478
1116	433775
1102	380761
821	419232
1226	424440
1086	455600
1076	485152
1070	481815
647	469110
814	322905
718	358009
809	357547
1044	444722
1025	527645
1025	446446
1019	396108
1014	459973
1009	402337
703	380433
988	412178
978	452965
969	426191
960	435035
955	415403
951	436133
951	396650
944	467369
931	372905
1337	378012
924	497239
687	351985
772	355569
771	373163
910	391109
769	424768
909	354734
906	481138
761	487272
1131	330109
682	429426
899	323779
899	356496
1329	394244
758	476848
755	323304
878	421765
873	357304
864	356388
852	355807
840	406493
1100	375252
1096	462110
1089	426564
1069	454231
1067	397618
1045	436493
1044	394360
1009	484919
1008	441795
1007	448245
988	429187
970	443060
948	446516
943	442670
759	308937
